route_id,route_short_name,route_long_name,route_type_desc
6,100,Hinjawadi Maan Phase 3 to Ma Na Pa Dengle Pul Nadikathi (UP),Bus
7,100,Ma Na Pa Dengle Pul Nadikhathi to Hinjawadi Maan Phase 3 (DOWN),Bus
10,103,Kothrud Depot to Katraj (UP),Bus
13,103,Katraj to Kothrud Depot (DOWN),Bus
14,104,Dsk Vishwa to Shivaji Nagar (UP),Bus
15,104,Shivaji Nagar to Dsk Vishwa (DOWN),Bus
16,107,Pimplegurav to Ganpati Matha (UP),Bus
17,107,Ganpati Matha to Pimplegurav (DOWN),Bus
18,108,Pune Station Moledina Road to Sutardara (UP),Bus
19,108,Sutardara to Pune Station Moledina Stand (DOWN),Bus
36,113,Sangvi Vasantdada Putala to Vasant Talkies (UP),Bus
37,113,Vasant Talkies to Sangvi Vasantdada Putala (DOWN),Bus
38,114,Bajirao Padale Chowk Mhalunge to Ma Na Pa Main Gate (UP),Bus
39,114,Ma Na Pa Main Gate to Bajirao Padale Chowk Mhalunge (DOWN),Bus
40,115,Hinjawadi Maan Phase 3 to Pune Station Moledina Stand (UP),Bus
41,115,Pune Station Moledina Stand to Hinjawadi Maan Phase 3 (DOWN),Bus
45,117,Dhayareshwar Mandir to Swargate Natraj Stand (UP),Bus
47,117,Swargate Natraj Stand to Dhayareshwar Mandir (DOWN),Bus
55,118,Vadgaon Budruk Stand to Swargate Natraj Stand (UP),Bus
57,118,Swargate Natraj Stand to Vadgaon Budruk Stand (DOWN),Bus
58,119A,Charholigaon to Ma Na Pa Daphale Garage (UP),Bus
59,119A,Ma Na Pa Daphale Garage to Charholigaon (DOWN),Bus
60,119,Alandi to Ma Na Pa Daphale Garage (UP),Bus
61,119,Ma Na Pa Daphale Garage to Alandi (DOWN),Bus
66,11C,Pimplegurav to Katraj (UP),Bus
67,11C,Katraj to Pimplegurav (DOWN),Bus
68,11,Pimplegurav to Marketyard Depot (UP),Bus
69,11,Marketyard Depot to Pimplegurav (DOWN),Bus
70,120,Endurance Systems Chakan Mahalunge to Bhosari Chakan Road (UP),Bus
71,120,Bhosari Chakan Road to Endurance Systems Chakan Mahalunge (DOWN),Bus
72,121,Bhosari Terminal to Ma Na Pa Main Stand (UP),Bus
73,121,Ma Na Pa Main Stand to Bhosari Terminal (DOWN),Bus
78,122,Chinchwadgaon to Ma Na Pa Main Stand (UP),Bus
79,122,Ma Na Pa Main Stand to Chinchwadgaon (DOWN),Bus
80,123,Nigdi Bhakti Shakti to Ma Na Pa Main Stand (UP),Bus
81,123,Ma Na Pa Main Stand to Nigdi Bhakti Shakti (DOWN),Bus
82,124,Neilsoft Company infosys Phase 3 to Aundhgaon (UP),Bus
83,124,Aundhgaon to Neilsoft Company infosys Phase 3 (DOWN),Bus
96,126,Pimple Nilakh to Bopkhel (UP),Bus
100,126,Bopkhel to Pimple Nilakh (DOWN),Bus
102,12,Shivaji Nagar to Upper Depot (UP),Bus
103,12,Upper Depot to Shivaji Nagar (DOWN),Bus
110,130,Swargate to Narhegaon (UP),Bus
111,130,Narhegaon to Swargate (DOWN),Bus
112,131,Golegaon Gram Panchayat to Ma Na Pa Dengle Pul Nadikhathi (UP),Bus
113,131,Ma Na Pa Dengle Pul Nadikathi to Golegaon Gram Panchayat (DOWN),Bus
114,132,Shubham Society Nagar Road to Ma Na Pa Shramik Bhavan (UP),Bus
115,132,Ma Na Pa Shramik Bhavan to Shubham Society Nagar Road (DOWN),Bus
116,133A,Columbia Hospital to Ma Na Pa Shramik Bhavan (UP),Bus
117,133A,Ma Na Pa Shramik Bhavan to Columbia Hospital (DOWN),Bus
118,133,Anand Park Vadgaon Sheri Road to Ma Na Pa Shramik Bhavan (UP),Bus
119,133,Ma Na Pa Shramik Bhavan to Anand Park Vadgaon Sheri Road (DOWN),Bus
124,135,Ranjangaon Sandas to Ma Na Pa Shramik Bhavan (UP),Bus
125,135,Ma Na Pa Shramik Bhavan to Ranjangaon Sandas (DOWN),Bus
126,136,Vadegaon to Kesnand Phata Wagholi (UP),Bus
127,136,Wagholi Kesnand Phata to Vadegaon (DOWN),Bus
130,137,Pargaon Salu Malu to Ma Na Pa Shramik Bhavan (UP),Bus
131,137,Ma Na Pa Shramik Bhavan to Pargaon Salu Malu (DOWN),Bus
134,139A,Nigdi Bhakti Shakti Stand to Bhekrai Nagar (UP),Bus
135,139A,Bhekrai Nagar to Nigdi Bhakti Shakti Stand (DOWN),Bus
138,139,Nigdi Bhakti Shakti to Shewalewadi Depot (UP),Bus
139,139,Shewalewadi Depot to Nigdi Bhakti Shakti (DOWN),Bus
142,13,Shivaji Nagar to Upper Depot (UP),Bus
145,13,Upper Depot to Shivaji Nagar (DOWN),Bus
146,140A,Pune Station Jayprakash Stand to Katraj Kondhwa Road (UP),Bus
147,140A,Katraj Kondhwa Road to Pune Station Jayprakash Stand (DOWN),Bus
148,140,Pune Station Jayprakash Stand to Upper Depot (UP),Bus
149,140,Upper Depot to Pune Station Jayprakash Stand (DOWN),Bus
150,141,Pune Station Jayprakash Stand to Kumar Pruthvi Kondhwa (UP),Bus
151,141,Kumar Pruthvi Kondhwa to Pune Station Jayprakash Stand (DOWN),Bus
152,142,Ghotawade Phata to Pune Station Moledina Stand (UP),Bus
153,142,Pune Station Depot to Ghotawade Phata (DOWN),Bus
154,143,Pune Station Moledina Stand to Galinde Path (UP),Bus
155,143,Galinde Path to Pune Station Moledina Stand (DOWN),Bus
158,144A,Pune Station Moledina Stand to Aditya Garden City (UP),Bus
159,144A,Aditya Garden City to Pune Station Moledina Stand (DOWN),Bus
162,144,Pune Station Moledina Stand to Nda 10 No. Gate (UP),Bus
165,144,Nda 10 No. Gate to Pune Station Moledina Stand (DOWN),Bus
166,145,Sutarwadi Depot to Pune Station Depot (UP),Bus
167,145,Pune Station Depot to Sutarwadi Depot (DOWN),Bus
168,146,Gokhale Nagar Police Line to Pune Station Jayprakash Stand (UP),Bus
169,146,Pune Station Jayprakash Stand to Gokhale Nagar Police Line (DOWN),Bus
170,147,Nhavi Sandas to Ma Na Pa Shramik Bhavan (UP),Bus
171,147,Ma Na Pa Shramik Bhavan to Nhavi Sandas (DOWN),Bus
174,148A,Bhosari Terminal to Bhekrai Nagar (UP),Bus
175,148A,Bhekrai Nagar to Bhosari Terminal (DOWN),Bus
176,148,Pimplegurav to Shewalewadi Depot (UP),Bus
177,148,Shewalewadi Depot to Pimplegurav (DOWN),Bus
178,149,Nigdi Bhakti Shakti Stand to Hadapsar Gadital (UP),Bus
179,149,Hadapsar Gadital to Nigdi Bhakti Shakti Stand (DOWN),Bus
182,151,Alandi to Pune Station Moledina Stand (UP),Bus
183,151,Pune Station Moledina Stand to Alandi (DOWN),Bus
191,152,Lohegaon to Ma Na Pa Daphale Garage (UP),Bus
194,152,Ma Na Pa Daphale Garage to Lohegaon (DOWN),Bus
195,153,Alandi to Kharadi Gaon (UP),Bus
196,153,Kharadi Gaon to Alandi (DOWN),Bus
197,154,Dimond Water Park to Pune Station Moledina Stand (UP),Bus
198,154,Pune Station Moledina Stand to Dimond Water Park (DOWN),Bus
199,155,Dimond Water Park to Pune Station Moledina Stand (UP),Bus
200,155,Pune Station Moledina Stand to Dimond Water Park (DOWN),Bus
205,157,JSPM Vidhyapith Wagholi to Ma Na Pa Shramik Bhavan (UP),Bus
206,157,Ma Na Pa Shramik Bhavan to JSPM Vidhyapith Wagholi (DOWN),Bus
207,158A,Dimond Water Park to Ma Na Pa Dengle Pul Nadikathi (UP),Bus
208,158A,Ma Na Pa Dengle Pul Nadikhathi to Dimond Water Park (DOWN),Bus
213,158,Pride World City Lohegaon to Ma Na Pa Dengle Pul Nadikathi (UP),Bus
214,158,Ma Na Pa Dengle Pul Nadikhathi to Pride World City Lohegaon (DOWN),Bus
217,159B,Loni Dhamni to Ma Na Pa Shramik Bhavan (UP),Bus
218,159B,Ma Na Pa Shramik Bhavan to Loni Dhamni (DOWN),Bus
221,159,Talegaon Dhamdhere Bazar to Ma Na Pa Shramik Bhavan (UP),Bus
222,159,Ma Na Pa Shramik Bhavan to Talegaon Dhamdhere Bazar (DOWN),Bus
223,15,Dsk Vishwa to Bhekrai Nagar (UP),Bus
224,15,Bhekrai Nagar to Dsk Vishwa (DOWN),Bus
225,160,Manjari Budruk to Shaniwarwada Stand (UP),Bus
226,160,Shaniwarwada Stand to Manjari Budruk (DOWN),Bus
234,161,Zilla Parishad Shala Karegaon to Kesnand Phata Wagholi (UP),Bus
236,161,Wagholi Kesnand Phata to Zilla Parishad Shala Karegaon (DOWN),Bus
237,162,Pabal Gaon to Ma Na Pa Shramik Bhavan (UP),Bus
238,162,Ma Na Pa Shramik Bhavan to Pabal Gaon (DOWN),Bus
241,163,Dhole Patil Collage to Pune Station Ambedkar Putala (UP),Bus
242,163,Pune Station Ambedkar Putala to Dhole Patil Collage (DOWN),Bus
245,164,Nhavare to Ma Na Pa Shramik Bhavan (UP),Bus
246,164,Ma Na Pa Shramik Bhavan to Nhavare (DOWN),Bus
247,165,Vadgaon Sheri to Ma Na Pa Dengle Pul Nadikhathi (UP),Bus
248,165,Ma Na Pa Dengle Pul Nadikathi to Vadgaon Sheri (DOWN),Bus
255,166,Lohgaon Airport to Pune Station Ambedkar Putala (UP),Bus
256,166,Pune Station Ambedkar Putala to Lohegaon Airport (DOWN),Bus
259,167,Kesnand Phata Wagholi to Bhekrai Nagar (UP),Bus
262,167,Bhekrai Nagar to Wagholi Kesnand Phata (DOWN),Bus
265,168,Keshav Nagar to Shaniwarwada Stand (UP),Bus
266,168,Shaniwarwada Stand to Keshav Nagar (DOWN),Bus
267,169,Keshav Nagar to Shaniwarwada Stand (UP),Bus
270,169,Shaniwarwada Stand to Keshav Nagar (DOWN),Bus
279,172,Pune Station Jayprakash Stand to Yewalewadi (UP),Bus
280,172,Yewalewadi to Pune Station Jayprakash Stand (DOWN),Bus
281,174,Nda 10 No. Gate to Pune Station Moledina Stand (UP),Bus
282,174,Pune Station Moledina Stand to Nda 10 No. Gate (DOWN),Bus
285,175,Hadapsar Gadital to Shaniwarwada Stand (UP),Bus
286,175,Shaniwarwada Stand to Hadapsar Gadital (DOWN),Bus
287,176,Vadachi Wadi to Pune Station Depot (UP),Bus
288,176,Pune Station Depot to Vadachi Wadi (DOWN),Bus
291,177,Bhangire Nagar Mahamadwadi to Pune Station Depot (UP),Bus
292,177,Pune Station Depot to Bhangire Nagar Mahamadwadi (DOWN),Bus
293,179,Lohegaon Khandoba Mal to Hadapsar Gadital (UP),Bus
294,179,Hadapsar Gadital to Lohegaon Khandoba Mal (DOWN),Bus
297,17,Narhegaon to Shivaji Nagar (UP),Bus
298,17,Shivaji Nagar to Narhegaon (DOWN),Bus
299,180,Bhekrai Nagar to Na Ta Wadi (UP),Bus
300,180,Na Ta Wadi to Bhekrai Nagar (DOWN),Bus
311,183,Wagholi Kesnand Phata to Hadapsar Gadital Solapur Road (UP),Bus
312,183,Hadapsar Gadital Solapur Road to Wagholi Kesnand Phata (DOWN),Bus
313,184,Ramdara to Hadapsar Gadital Solapur Road (UP),Bus
314,184,Hadapsar Gadital Solapur Road to Ramdara (DOWN),Bus
315,185,Kesnand Phata Wagholi to Hadapsar Gadital Solapur Road (UP),Bus
316,185,Hadapsar Gadital Solapur Road to Wagholi Kesnand Phata (DOWN),Bus
321,188,Katraj Kondhwa Road to Hadapsar Gadital (UP),Bus
322,188,Hadapsar Gadital to Katraj Kondhwa Road (DOWN),Bus
323,189,Dhangar Vasti to Hadapsar Gadital (UP),Bus
324,189,Hadapsar Gadital to Dhangar Vasti (DOWN),Bus
327,192,Vadachi Wadi to Hadapsar Gadital (UP),Bus
328,192,Hadapsar Gadital to Vadachi Wadi (DOWN),Bus
331,193,Khutbav Gaon to Hadapsar Gadital Solapur Road (UP),Bus
332,193,Hadapsar Gadital Solapur Road to Khutbav Gaon (DOWN),Bus
335,195,Holkarwadi to Hadapsar Gadital (UP),Bus
336,195,Hadapsar Gadital to Holkarwadi (DOWN),Bus
345,199,Shewalewadi Depot to Kothrud Depot (UP),Bus
346,199,Kothrud Depot to Shewalewadi Depot (DOWN),Bus
347,19A,Swargate to Yewalewadi (UP),Bus
348,19A,Yewalewadi to Swargate (DOWN),Bus
351,19,Swargate to Yewalewadi (UP),Bus
352,19,Yewalewadi to Swargate (DOWN),Bus
355,200,Alandi to Shewalewadi Depot (UP),Bus
356,200,Shewalewadi Depot to Alandi (DOWN),Bus
357,201,Alandi to Bhekrai Nagar (UP),Bus
358,201,Bhekrai Nagar to Alandi (DOWN),Bus
359,202,Ganpati Matha to Shewalewadi Depot (UP),Bus
360,202,Shewalewadi Depot to Ganpati Matha (DOWN),Bus
363,203,Pune Station Moledina Stand to Shewalewadi Depot (UP),Bus
364,203,Shewalewadi Depot to Pune Station Moledina Stand (DOWN),Bus
365,204,Chinchwadgaon to Bhekrai Nagar (UP),Bus
366,204,Bhekrai Nagar to Chinchwadgaon Aundh Road / Chinchwadgaon (DOWN),Bus
367,205,Sangvi Vasantdada Putala to Shewalewadi Depot (UP),Bus
368,205,Shewalewadi Depot to Sangvi Vasantdada Putala (DOWN),Bus
371,207A,Saswad to Hadapsar Gadital (UP),Bus
372,207A,Hadapsar Gadital to Saswad (DOWN),Bus
373,207,Saswad to Swargate (UP),Bus
379,207,Swargate to Saswad (DOWN),Bus
380,208,Hinjawadi Maan Phase 3 to Bhekrai Nagar (UP),Bus
381,208,Bhekrai Nagar to Hinjawadi Maan Phase 3 (DOWN),Bus
382,209A,Saswad to Swargate (UP),Bus
383,209A,Swargate to Saswad (DOWN),Bus
386,209,Saswad to Katraj Kondhwa Road (UP),Bus
387,209,Katraj Kondhwa Road to Saswad (DOWN),Bus
392,210,Midc Jejuri to Hadapsar Gadital (UP),Bus
393,210,Hadapsar Gadital to Midc Jejuri (DOWN),Bus
1274,211,Uruli Kanchan to Saswad (UP),Bus
1275,211,Saswad to Uruli Kanchan (DOWN),Bus
396,212,Morgaon St Stand to Hadapsar Gadital (UP),Bus
397,212,Hadapsar Gadital to Morgaon St Stand (DOWN),Bus
400,213,Nira to Hadapsar Gadital (UP),Bus
401,213,Hadapsar Gadital to Nira (DOWN),Bus
402,214,Shingad Collage Ambegaon to Katraj (UP),Bus
403,214,Katraj to Shingad Collage Ambegaon (DOWN),Bus
404,215,Swargate to Chintamani Dnyanpith (UP),Bus
405,215,Chintamani Dnyanpith to Swargate (DOWN),Bus
410,216,Shivaji Nagar to Bharati Vidyapeeth (UP),Bus
411,216,Bharati Vidyapeeth to Shivaji Nagar (DOWN),Bus
414,219,Alandi to Kothrud Depot (UP),Bus
415,219,Kothrud Depot to Alandi (DOWN),Bus
418,21,Sangvi Vasantdada Putala to Swargate (UP),Bus
419,21,Swargate to Sangvi Vasantdada Putala (DOWN),Bus
422,221,I V Estate Wagholi to Wagholi Kesnand Phata (UP),Bus
423,221,Kesnand Phata Wagholi to IV VILLA LANE NO. 1 (DOWN),Bus
424,225,Hinjawadi Maan Phase 3 to Kharadi Gaon (UP),Bus
425,225,Kharadi Gaon to Hinjawadi Maan Phase 3 (DOWN),Bus
432,227A,Mhasoba Mandir Kharawade to Marketyard Depot (UP),Bus
433,227A,Marketyard Depot to Mhasoba Mandir Kharawade (DOWN),Bus
434,227,Marnewadi to Marketyard Depot (UP),Bus
435,227,Marketyard Depot to Marnewadi (DOWN),Bus
440,228,Vadgaon Mawal to Katraj (UP),Bus
445,228,Katraj to Vadgaon Mawal (DOWN),Bus
448,231,Shilim Gaon to Marketyard Depot (UP),Bus
449,231,Marketyard Depot to Shilim Gaon (DOWN),Bus
450,232,Gram Panchayat Belawade to Marketyard Depot (UP),Bus
451,232,Marketyard Depot to Gram Panchayat Belawade (DOWN),Bus
452,233A,Kolwan Gaon to Marketyard Depot (UP),Bus
453,233A,Marketyard Depot to Kolwan Gaon (DOWN),Bus
454,233B,Bhadasgaon to Marketyard Depot (UP),Bus
455,233B,Marketyard Depot to Bhadasgaon (DOWN),Bus
456,233,Paud Shashkiy Vishram Gruh to Marketyard Depot (UP),Bus
457,233,Marketyard Depot to Paud Shashkiy Vishram Gruh (DOWN),Bus
458,234,Dhole Patil Collage to Ma Na Pa Shramik Bhavan (UP),Bus
459,234,Ma Na Pa Shramik Bhavan to Dhole Patil Collage (DOWN),Bus
460,235,Kharadi Gaon to Katraj (UP),Bus
461,235,Katraj to Kharadi Gaon (DOWN),Bus
462,236,Kesnand Phata Wagholi to Katraj (UP),Bus
463,236,Katraj to Wagholi Kesnand Phata (DOWN),Bus
464,24A,Lohegaon to Katraj (UP),Bus
465,24A,Katraj to Lohegaon (DOWN),Bus
468,24,Maharashtra Housing Board Samta Nagar to Katraj (UP),Bus
469,24,Katraj to Maharashtra Housing Board Samta Nagar (DOWN),Bus
472,256,Balewadi Depot to Pune Station Moledina Stand (UP),Bus
473,256,Pune Station Moledina Stand to Balewadi Depot (DOWN),Bus
1244,257A,Indian Oil Petrol Pump Tulapur to Wagholi Kesnand Phata (UP),Bus
1245,257A,Wagholi Kesnand Phata to Indian Oil Petrol Pump Tulapur (DOWN),Bus
476,257,Alandi to Panaychi Taki Markal (UP),Bus
477,257,Panaychi Taki Markal to Alandi (DOWN),Bus
478,258,Nilanjan Society Soosgaon to Ma Na Pa Main Gate (UP),Bus
479,258,Ma Na Pa Main Gate to Nilanjan Society Soosgaon (DOWN),Bus
484,262,Sant Tukaram Maharaj Krida Sankul Dehugaon to Pune Station Moledina Stand (UP),Bus
485,262,Pune Station Moledina Stand to Sant Tukaram Maharaj Krida Sankul Dehugaon (DOWN),Bus
486,264,Pabal Gaon to Bhosari Pmt Chowk (UP),Bus
487,264,Bhosari Pmt Chowk to Pabal Gaon (DOWN),Bus
488,26,Shivaji Nagar to Dhankawadi (UP),Bus
489,26,Dhankawadi to Shivaji Nagar (DOWN),Bus
494,276,Chinchwadgaon to Ganpati Matha (UP),Bus
495,276,Ganpati Matha to Chinchwadgaon Aundh Road / Chinchwadgaon (DOWN),Bus
496,277,Bhosari Terminal to Kothrud Depot (UP),Bus
497,277,Kothrud Depot to Bhosari Terminal (DOWN),Bus
498,279,Katar Khadak to Marketyard Depot (UP),Bus
499,279,Marketyard Depot to Katar Khadak (DOWN),Bus
500,281,Nigdi Bhakti Shakti to Ganpati Matha (UP),Bus
501,281,Ganpati Matha to Nigdi Bhakti Shakti (DOWN),Bus
502,282,Bhosari Terminal to Ganpati Matha (UP),Bus
503,282,Ganpati Matha to Bhosari Terminal (DOWN),Bus
504,283,Pune Station Moledina Stand to Kumbare Park (UP),Bus
505,283,Kumbare Park to Pune Station Moledina Stand (DOWN),Bus
510,290,Swargate to Jambhulwadi (UP),Bus
511,290,Jambhulwadi to Swargate (DOWN),Bus
512,291,Hadapsar Gadital to Katraj Kondhwa Road (UP),Bus
513,291,Katraj Kondhwa Road to Hadapsar Gadital (DOWN),Bus
521,292,Kondhanpur to Balaji Nagar Corner Satara Road (UP),Bus
523,292,Balaji Nagar Corner Satara Road to Kondhanpur (DOWN),Bus
524,293,Saswad to Balaji Nagar Corner Satara Road (UP),Bus
525,293,Balaji Nagar Corner Satara Road to Saswad (DOWN),Bus
530,296A,Vangniwadi to Balaji Nagar Corner Satara Road (UP),Bus
531,296A,Balaji Nagar Corner Satara Road to Vangniwadi (DOWN),Bus
532,296,Velhe to Balaji Nagar Corner Satara Road (UP),Bus
533,296,Balaji Nagar Corner Satara Road to Velhe (DOWN),Bus
534,297,Shivaji Nagar to Rajas Society (UP),Bus
535,297,Rajas Society to Shivaji Nagar (DOWN),Bus
538,298,Chinchwadgaon to Gujarwadi Pmt Bus Stand (UP),Bus
539,298,Gujarwadi Pmt Bus Stand to Chinchwadgaon Aundh Road / Chinchwadgaon (DOWN),Bus
540,299,Bhosari Terminal to Gujarwadi Pmt Bus Stand (UP),Bus
541,299,Gujarwadi Pmt Bus Stand to Bhosari Terminal (DOWN),Bus
544,29,Alandi to Swargate (UP),Bus
545,29,Swargate to Alandi (DOWN),Bus
546,2A,Shivaji Nagar to Katraj (UP),Bus
547,2A,Katraj to Shivaji Nagar (DOWN),Bus
551,2,Shivaji Nagar to Swargate (UP),Bus
552,2,Swargate to Shivaji Nagar (DOWN),Bus
553,301A,Bhekrai Nagar to Katraj (UP),Bus
554,301A,Katraj to Bhekrai Nagar (DOWN),Bus
