source,target,weight
336,337,60.0
337,338,60.0
106793,319,60.0
338,339,69.0
319,320,64.0
319,460,60.0
319,461,129.0
339,167,60.0
320,321,60.0
320,1639,60.0
320,1747,60.0
320,2230,60.0
320,2876,60.0
167,166,60.0
167,168,67.0
321,105,60.0
321,320,87.0
321,322,60.0
321,349,60.0
321,1778,60.0
166,165,69.0
166,167,60.0
322,323,77.0
322,1954,77.0
322,1966,74.0
165,155,60.0
165,166,83.0
165,8501,60.0
323,324,62.0
155,165,60.0
155,4541,88.0
324,325,76.0
324,1954,107.0
324,1955,122.0
4541,116,60.0
4541,153,60.0
4541,155,84.0
325,324,67.0
325,326,81.0
325,3167,67.0
153,152,85.0
153,207,85.0
153,4541,103.0
326,325,107.0
326,327,66.0
326,344,67.0
152,151,87.0
152,153,106.0
152,218,106.0
152,4501,87.0
152,4542,100.0
327,328,60.0
327,388,60.0
327,491,60.0
151,150,106.0
151,152,60.0
328,329,91.0
150,149,60.0
150,151,91.0
329,330,69.0
329,5033,60.0
149,150,60.0
149,4533,90.0
330,331,60.0
4533,120,97.0
4533,122,60.0
4533,147,60.0
4533,149,142.0
4533,217,60.0
4533,289,60.0
4533,340,60.0
4533,399,60.0
4533,1962,60.0
331,121,60.0
331,217,69.0
331,399,69.0
331,1963,100.0
331,4533,60.0
340,341,108.0
121,120,97.0
121,122,60.0
121,217,60.0
121,331,60.0
121,399,60.0
341,329,71.0
120,119,60.0
120,121,82.0
119,118,84.0
119,120,67.0
5033,343,60.0
118,117,67.0
118,119,68.0
343,344,60.0
117,116,64.0
117,118,118.0
117,207,64.0
344,326,60.0
344,345,60.0
344,385,60.0
344,2550,60.0
116,115,125.0
116,117,98.0
345,346,98.0
115,114,99.0
115,116,144.0
346,347,68.0
114,115,60.0
114,164,60.0
347,348,107.0
347,1823,108.0
347,1955,121.0
347,1966,107.0
164,114,60.0
164,155,60.0
164,163,60.0
348,105,97.0
348,349,97.0
163,162,60.0
163,164,72.0
349,106,98.0
349,460,78.0
349,1204,103.0
349,2230,78.0
162,161,70.0
162,163,60.0
162,332,70.0
106,107,90.0
106,1747,60.0
106,1826,60.0
106,1827,62.0
332,333,83.0
107,105,60.0
107,319,60.0
107,1208,60.0
107,1323,73.0
107,1827,73.0
107,3246,60.0
107,6261,108.0
333,334,60.0
334,335,72.0
141,139,60.0
141,4429,60.0
141,5424,60.0
141,5504,60.0
139,138,60.0
139,140,83.0
139,141,83.0
138,137,83.0
138,139,62.0
138,1275,83.0
1275,1276,68.0
1275,106564,68.0
1276,135,168.0
135,134,89.0
135,136,136.0
135,106563,136.0
134,133,136.0
134,135,107.0
134,4470,136.0
133,134,82.0
133,142,107.0
142,131,81.0
131,130,127.0
131,132,60.0
131,790,60.0
131,799,60.0
131,1251,60.0
130,129,60.0
130,131,83.0
130,143,60.0
130,172,60.0
130,4055,82.0
172,1277,83.0
172,3315,83.0
1277,144,60.0
1277,145,67.0
1277,393,60.0
1277,403,60.0
1277,4509,60.0
144,145,60.0
144,173,60.0
144,393,60.0
144,4509,60.0
4509,125,90.0
4509,126,103.0
4509,381,145.0
4509,445,91.0
125,124,60.0
125,126,60.0
124,123,60.0
124,125,77.0
124,146,60.0
146,124,60.0
146,147,68.0
147,121,60.0
147,146,149.0
147,289,60.0
147,4533,60.0
171,170,60.0
171,373,152.0
170,169,60.0
170,171,60.0
169,160,60.0
169,170,82.0
169,4539,60.0
160,159,64.0
160,161,78.0
160,168,82.0
160,169,69.0
168,160,60.0
168,167,68.0
8501,4541,82.0
161,160,60.0
161,162,64.0
161,4536,60.0
4536,159,60.0
159,158,84.0
159,160,60.0
159,170,78.0
158,159,60.0
158,4537,60.0
4542,150,78.0
4537,158,93.0
4537,170,60.0
4537,373,60.0
122,121,60.0
122,123,148.0
123,122,77.0
123,124,60.0
126,127,60.0
126,8061,60.0
8061,392,62.0
8061,403,62.0
8061,3315,62.0
3315,129,60.0
3315,144,60.0
3315,145,60.0
3315,173,60.0
3315,392,60.0
3315,403,60.0
3315,4509,67.0
129,130,60.0
129,1266,60.0
129,3315,83.0
129,3801,60.0
1266,3830,81.0
3830,132,62.0
3830,799,62.0
3830,1251,63.0
132,133,125.0
132,1267,112.0
1267,1268,88.0
1268,1269,103.0
1269,136,125.0
1269,106563,125.0
136,135,154.0
136,137,88.0
136,4444,89.0
137,136,61.0
137,138,154.0
137,1270,154.0
137,4488,99.0
137,106564,60.0
1270,1271,60.0
1271,140,78.0
1271,141,79.0
174,175,60.0
175,176,150.0
176,177,60.0
177,178,60.0
178,179,71.0
178,106602,71.0
106602,180,62.0
180,5564,60.0
5564,182,66.0
5564,619,66.0
182,183,61.0
183,3295,60.0
3295,238,87.0
3295,3333,95.0
3333,186,77.0
186,187,87.0
187,188,60.0
188,189,60.0
189,190,60.0
190,191,60.0
191,192,76.0
191,644,74.0
213,35,60.0
213,274,60.0
213,3361,202.0
192,191,75.0
192,3304,73.0
274,40,103.0
274,3354,99.0
274,3855,93.0
3304,192,60.0
3304,194,74.0
3855,215,60.0
3855,293,116.0
3855,6467,60.0
194,194,60.0
194,196,60.0
194,621,60.0
194,3304,61.0
215,216,69.0
216,217,90.0
196,197,96.0
196,1931,60.0
196,106796,60.0
217,121,60.0
217,122,60.0
217,289,60.0
217,331,63.0
217,340,60.0
217,399,60.0
217,449,60.0
217,4533,60.0
197,198,60.0
198,199,60.0
198,1926,60.0
199,200,79.0
199,226,86.0
200,201,123.0
200,224,123.0
200,277,60.0
200,1930,60.0
224,223,60.0
224,225,60.0
223,222,60.0
223,224,76.0
207,117,87.0
207,206,100.0
222,221,78.0
222,223,79.0
206,205,83.0
206,207,74.0
221,220,77.0
221,222,75.0
205,204,77.0
205,206,100.0
220,219,82.0
220,221,76.0
204,203,88.0
204,205,84.0
204,3838,88.0
219,218,80.0
219,220,86.0
3838,202,91.0
202,201,60.0
202,203,60.0
218,152,87.0
218,153,87.0
218,219,89.0
201,200,60.0
201,202,60.0
201,225,60.0
225,199,60.0
225,200,129.0
225,224,132.0
225,288,60.0
226,227,60.0
227,196,60.0
289,290,104.0
289,7778,60.0
106796,229,89.0
290,291,109.0
229,230,60.0
229,626,60.0
291,211,78.0
291,292,77.0
291,1252,78.0
291,2018,150.0
230,229,79.0
230,231,60.0
211,34,154.0
231,230,86.0
231,232,81.0
34,35,100.0
34,213,146.0
34,274,100.0
34,734,99.0
34,106876,147.0
232,231,65.0
232,627,68.0
627,234,77.0
234,235,60.0
235,236,62.0
236,8062,60.0
8062,238,60.0
8062,656,60.0
238,186,77.0
238,3334,98.0
238,7939,97.0
7939,240,75.0
7939,671,75.0
7939,3356,75.0
240,619,124.0
240,628,123.0
240,5555,69.0
240,5562,124.0
5562,5556,60.0
5556,243,60.0
243,179,79.0
179,180,91.0
179,244,61.0
179,629,62.0
244,245,60.0
245,246,72.0
246,247,60.0
247,174,60.0
248,249,60.0
248,469,95.0
248,777,60.0
248,6427,95.0
249,250,60.0
250,251,91.0
251,252,63.0
252,253,73.0
252,106808,73.0
106808,254,110.0
254,255,60.0
255,256,60.0
256,257,69.0
256,778,70.0
257,258,60.0
257,310,60.0
257,311,64.0
258,259,98.0
258,311,98.0
258,806,69.0
259,260,173.0
260,261,60.0
260,307,60.0
261,262,60.0
261,308,84.0
262,263,60.0
263,106797,76.0
106797,265,85.0
106797,305,60.0
265,266,60.0
266,267,114.0
267,268,60.0
268,269,71.0
269,270,150.0
270,271,60.0
271,106809,79.0
106809,106810,60.0
106810,106811,83.0
106811,31,62.0
31,32,114.0
32,33,89.0
33,34,80.0
3354,34,60.0
3354,41,60.0
3354,275,63.0
3354,351,63.0
3354,385,63.0
3354,458,63.0
3354,734,68.0
3354,1140,63.0
3354,5732,60.0
275,276,68.0
275,294,61.0
294,40,60.0
294,215,60.0
294,458,60.0
294,2017,167.0
203,202,87.0
203,204,60.0
203,5347,82.0
288,225,67.0
288,287,131.0
287,285,68.0
287,288,60.0
287,3179,68.0
3179,285,60.0
3179,287,101.0
3179,8343,60.0
3179,8605,60.0
8605,281,100.0
8605,284,100.0
8605,3179,75.0
