route_id,agency_id,route_short_name,route_long_name,route_type
6,PMPML,100,Hinjawadi Maan Phase 3 to Ma Na Pa Dengle Pul Nadikathi (UP),3
7,PMPML,100,Ma Na Pa Dengle Pul Nadikhathi to Hinjawadi Maan Phase 3 (DOWN),3
10,PMPML,103,Kothrud Depot to Katraj (UP),3
13,PMPML,103,Katraj to Kothrud Depot (DOWN),3
14,PMPML,104,Dsk Vishwa to Shivaji Nagar (UP),3
15,PMPML,104,Shivaji Nagar to Dsk Vishwa (DOWN),3
16,PMPML,107,Pimplegurav to Ganpati Matha (UP),3
17,PMPML,107,Ganpati Matha to Pimplegurav (DOWN),3
18,PMPML,108,Pune Station Moledina Road to Sutardara (UP),3
19,PMPML,108,Sutardara to Pune Station Moledina Stand (DOWN),3
36,PMPML,113,Sangvi Vasantdada Putala to Vasant Talkies (UP),3
37,PMPML,113,Vasant Talkies to Sangvi Vasantdada Putala (DOWN),3
38,PMPML,114,Bajirao Padale Chowk Mhalunge to Ma Na Pa Main Gate (UP),3
39,PMPML,114,Ma Na Pa Main Gate to Bajirao Padale Chowk Mhalunge (DOWN),3
40,PMPML,115,Hinjawadi Maan Phase 3 to Pune Station Moledina Stand (UP),3
41,PMPML,115,Pune Station Moledina Stand to Hinjawadi Maan Phase 3 (DOWN),3
45,PMPML,117,Dhayareshwar Mandir to Swargate Natraj Stand (UP),3
47,PMPML,117,Swargate Natraj Stand to Dhayareshwar Mandir (DOWN),3
55,PMPML,118,Vadgaon Budruk Stand to Swargate Natraj Stand (UP),3
57,PMPML,118,Swargate Natraj Stand to Vadgaon Budruk Stand (DOWN),3
58,PMPML,119A,Charholigaon to Ma Na Pa Daphale Garage (UP),3
59,PMPML,119A,Ma Na Pa Daphale Garage to Charholigaon (DOWN),3
60,PMPML,119,Alandi to Ma Na Pa Daphale Garage (UP),3
61,PMPML,119,Ma Na Pa Daphale Garage to Alandi (DOWN),3
66,PMPML,11C,Pimplegurav to Katraj (UP),3
67,PMPML,11C,Katraj to Pimplegurav (DOWN),3
68,PMPML,11,Pimplegurav to Marketyard Depot (UP),3
69,PMPML,11,Marketyard Depot to Pimplegurav (DOWN),3
70,PMPML,120,Endurance Systems Chakan Mahalunge to Bhosari Chakan Road (UP),3
71,PMPML,120,Bhosari Chakan Road to Endurance Systems Chakan Mahalunge (DOWN),3
72,PMPML,121,Bhosari Terminal to Ma Na Pa Main Stand (UP),3
73,PMPML,121,Ma Na Pa Main Stand to Bhosari Terminal (DOWN),3
78,PMPML,122,Chinchwadgaon to Ma Na Pa Main Stand (UP),3
79,PMPML,122,Ma Na Pa Main Stand to Chinchwadgaon (DOWN),3
80,PMPML,123,Nigdi Bhakti Shakti to Ma Na Pa Main Stand (UP),3
81,PMPML,123,Ma Na Pa Main Stand to Nigdi Bhakti Shakti (DOWN),3
82,PMPML,124,Neilsoft Company infosys Phase 3 to Aundhgaon (UP),3
83,PMPML,124,Aundhgaon to Neilsoft Company infosys Phase 3 (DOWN),3
96,PMPML,126,Pimple Nilakh to Bopkhel (UP),3
100,PMPML,126,Bopkhel to Pimple Nilakh (DOWN),3
102,PMPML,12,Shivaji Nagar to Upper Depot (UP),3
103,PMPML,12,Upper Depot to Shivaji Nagar (DOWN),3
110,PMPML,130,Swargate to Narhegaon (UP),3
111,PMPML,130,Narhegaon to Swargate (DOWN),3
112,PMPML,131,Golegaon Gram Panchayat to Ma Na Pa Dengle Pul Nadikhathi (UP),3
113,PMPML,131,Ma Na Pa Dengle Pul Nadikathi to Golegaon Gram Panchayat (DOWN),3
114,PMPML,132,Shubham Society Nagar Road to Ma Na Pa Shramik Bhavan (UP),3
115,PMPML,132,Ma Na Pa Shramik Bhavan to Shubham Society Nagar Road (DOWN),3
116,PMPML,133A,Columbia Hospital to Ma Na Pa Shramik Bhavan (UP),3
117,PMPML,133A,Ma Na Pa Shramik Bhavan to Columbia Hospital (DOWN),3
118,PMPML,133,Anand Park Vadgaon Sheri Road to Ma Na Pa Shramik Bhavan (UP),3
119,PMPML,133,Ma Na Pa Shramik Bhavan to Anand Park Vadgaon Sheri Road (DOWN),3
124,PMPML,135,Ranjangaon Sandas to Ma Na Pa Shramik Bhavan (UP),3
125,PMPML,135,Ma Na Pa Shramik Bhavan to Ranjangaon Sandas (DOWN),3
126,PMPML,136,Vadegaon to Kesnand Phata Wagholi (UP),3
127,PMPML,136,Wagholi Kesnand Phata to Vadegaon (DOWN),3
130,PMPML,137,Pargaon Salu Malu to Ma Na Pa Shramik Bhavan (UP),3
131,PMPML,137,Ma Na Pa Shramik Bhavan to Pargaon Salu Malu (DOWN),3
134,PMPML,139A,Nigdi Bhakti Shakti Stand to Bhekrai Nagar (UP),3
135,PMPML,139A,Bhekrai Nagar to Nigdi Bhakti Shakti Stand (DOWN),3
138,PMPML,139,Nigdi Bhakti Shakti to Shewalewadi Depot (UP),3
139,PMPML,139,Shewalewadi Depot to Nigdi Bhakti Shakti (DOWN),3
142,PMPML,13,Shivaji Nagar to Upper Depot (UP),3
145,PMPML,13,Upper Depot to Shivaji Nagar (DOWN),3
146,PMPML,140A,Pune Station Jayprakash Stand to Katraj Kondhwa Road (UP),3
147,PMPML,140A,Katraj Kondhwa Road to Pune Station Jayprakash Stand (DOWN),3
148,PMPML,140,Pune Station Jayprakash Stand to Upper Depot (UP),3
149,PMPML,140,Upper Depot to Pune Station Jayprakash Stand (DOWN),3
150,PMPML,141,Pune Station Jayprakash Stand to Kumar Pruthvi Kondhwa (UP),3
151,PMPML,141,Kumar Pruthvi Kondhwa to Pune Station Jayprakash Stand (DOWN),3
152,PMPML,142,Ghotawade Phata to Pune Station Moledina Stand (UP),3
153,PMPML,142,Pune Station Depot to Ghotawade Phata (DOWN),3
154,PMPML,143,Pune Station Moledina Stand to Galinde Path (UP),3
155,PMPML,143,Galinde Path to Pune Station Moledina Stand (DOWN),3
158,PMPML,144A,Pune Station Moledina Stand to Aditya Garden City (UP),3
